key;joiningdate;surename;forename;group
GI-105590; 1985-04-06; Scharstein; Uri; EMERITUS; false
GI-138541; 1986-12-30; Danecki; Baruch; FULL; true
GI-110640; 1987-02-19; Kalsbeek; Hongzhu; REDUCED; true
GI-110040; 1986-05-21; Zucker; Kazuhide; EMERITUS; true
GI-109014; 1999-03-03; Percebois; Honglan; EMERITUS; true
GI-102736; 1986-03-09; Fujisaki; Xuedong; REDUCED; true
GI-139865; 1991-09-19; Pellegrinelli; Roselyn; FULL; false
GI-136242; 1990-08-31; Usery; Kolar; FULL; true
GI-109734; 1989-06-16; Broomell; Fei; STUDENT; false
GI-110760; 1987-09-20; Iisaka; Kokou; FULL; true
GI-107790; 1986-04-15; Versino; Domenico; FULL; true
GI-130094; 1991-09-26; Krzyzanowski; Rutger; STUDENT; true
GI-100738; 1998-04-05; dAstous; Chrisa; FULL; true
GI-118485; 1988-09-19; Cardazo; Boguslaw; FULL; false
GI-102296; 1986-11-29; Angelopoulos; Oguz; REDUCED; true
GI-106036; 1988-06-04; Hedayat; Shao; FULL; false
GI-102556; 1994-09-15; Bail; Apostol; EMERITUS; true
GI-102599; 1996-09-20; Levergood; Shen; EMERITUS; false
GI-132038; 1990-10-16; Deville; Gritta; EMERITUS; true
GI-124601; 1987-05-24; Silva; Lubomir; STUDENT; false
GI-113939; 1988-04-28; Sevcikova; Nevin; REDUCED; false
GI-122726; 1988-01-27; Leuchs; Baruch; STUDENT; false
GI-132012; 1991-08-21; Duclos; Yagil; REDUCED; true
GI-135907; 1997-06-24; Ernst; Goncalo; EMERITUS; false
GI-118410; 1987-10-03; Keohane; Sugwoo; REDUCED; true
GI-108616; 1990-06-09; Pintelas; Genta; STUDENT; true
GI-126971; 1985-06-05; Fujisaki; Changho; FULL; false
GI-110505; 1990-02-22; Bodoff; Abdelkader; EMERITUS; true
GI-116043; 1985-09-06; Matheson; Leif; EMERITUS; false
GI-115339; 1992-11-17; Breugel; Gennadi; FULL; false
GI-135942; 1990-02-01; Bernini; Brendon; FULL; false
GI-112174; 1986-02-01; Liedekerke; Wuxu; FULL; true
GI-127127; 1987-04-22; Seuren; Tsz; FULL; false
GI-128714; 1992-07-06; Rosch; Hugh; REDUCED; false
GI-120342; 1996-01-09; Gente; Zhenbing; FULL; false
GI-118597; 1990-11-04; Lorys; Chiranjit; FULL; true
GI-117847; 1985-10-13; Jeong; Cordelia; FULL; true
GI-104600; 1994-10-14; Kavraki; Seongbae; FULL; true
GI-110614; 1985-02-15; Zwicker; Tsvetan; FULL; true
GI-125317; 1986-01-08; Sommen; Arto; REDUCED; false
GI-124908; 1999-08-28; Orsini; Youssef; FULL; false
GI-108044; 1989-07-07; Ermel; Arunachalam; FULL; false
GI-128104; 1987-07-23; Falby; Przemyslawa; FULL; true
GI-118555; 1990-01-24; Benveniste; Elliott; FULL; true
GI-114926; 1991-08-07; Birge; Cathie; EMERITUS; false
GI-130181; 1997-07-02; Murrill; Masali; EMERITUS; false
GI-133474; 1992-02-20; Yamaashi; Werner; EMERITUS; false
GI-133684; 1985-07-24; Jonsson; Monique; EMERITUS; false
GI-106801; 1986-06-01; Chleq; Zhilian; STUDENT; true
GI-123267; 1986-10-13; Cochrane; Berna; FULL; true
GI-125556; 1991-12-07; Facello; Kirk; FULL; true
GI-103177; 1985-06-10; Jarecki; Oscar; REDUCED; true
GI-131270; 1995-01-25; Sridhar; Tokuyasu; FULL; true
GI-103170; 1991-04-18; Garigliano; Qiwen; EMERITUS; true
GI-100313; 1989-04-23; Cooke; Mooi; STUDENT; true
GI-100645; 1990-11-16; Chenney; Ferdinand; STUDENT; false
