key;joiningdate;surname;forename;group;newsletter
GI-103170; 1986-07-10; Wilfing; Yuguang; FULL; false
GI-107709; 1994-12-25; Hammerschmidt; Arfst; FULL; false
GI-103966; 1989-03-04; Thimonier; Mechthild; EMERITUS; false
GI-109795; 1987-05-01; Bressoud; Nalini; FULL; true
GI-105270; 1985-05-15; Kowalchuk; Fai; EMERITUS; true
GI-108591; 1990-10-30; Unni; Reinhold; REDUCED; true
GI-109639; 1987-09-18; Facello; Roded; FULL; true
GI-103758; 1985-08-29; Muhling; Debatosh; EMERITUS; false
GI-105723; 1994-05-11; Chiodo; Adhemar; FULL; false
GI-100785; 1996-02-08; Gammage; Nikolaus; REDUCED; false
GI-105907; 1985-03-06; Puppo; Mayuko; REDUCED; false
GI-104951; 1985-06-10; Setia; Olivera; EMERITUS; false
GI-107562; 1992-04-30; Michaeli; Volkmar; FULL; false
GI-106502; 1994-03-31; Narahara; Akeel; FULL; false
GI-102686; 1991-04-16; Syrotiuk; Herb; STUDENT; true
GI-102715; 1992-05-21; Rusterholz; Kauko; REDUCED; true
GI-107326; 1987-06-17; Senzako; Hein; STUDENT; true
GI-107687; 1988-06-26; Breugel; Gou; FULL; false
GI-100808; 1991-09-06; Pintelas; Mahmut; EMERITUS; true
GI-106620; 1991-05-16; Tramer; Shaz; FULL; true
GI-103441; 1989-03-02; Bolotov; Brigham; FULL; true
GI-102036; 1988-04-25; Junet; Bodh; REDUCED; true
GI-106153; 1991-03-27; Makrucki; Tetsushi; FULL; false
GI-107460; 1985-11-09; Wossner; Insup; EMERITUS; false
GI-104462; 1985-04-02; Matzel; Tsvetan; STUDENT; false
GI-103569; 1992-08-07; Desikan; Ziva; EMERITUS; false
GI-101204; 1989-04-08; Leonhardt; Gino; EMERITUS; true
GI-100574; 1987-12-12; Siprelle; Diederik; FULL; true
GI-100612; 1996-09-24; Mellouli; Kien; EMERITUS; false
GI-101296; 1993-06-04; Ginneken; Youpyo; STUDENT; false
GI-102863; 1985-05-23; Leslie; Djenana; STUDENT; true
GI-100294; 1987-07-19; Gecsei; Munehiro; FULL; false
GI-108459; 1987-01-10; Masaki; Vojin; FULL; true
GI-106916; 1990-09-21; Ghalwash; Kiyomitsu; FULL; false
GI-103969; 1989-07-22; Baer; Sanjai; FULL; true
GI-100769; 1994-09-07; Lunn; Lijie; REDUCED; false
GI-100320; 1986-05-24; Zucker; Mandell; EMERITUS; false
GI-102495; 1985-05-17; Ghelli; Maris; EMERITUS; false
GI-106468; 1990-05-25; Marakhovsky; Stevo; FULL; false
GI-107165; 1986-05-21; Zucker; Kazuhide; EMERITUS; true
GI-102621; 1986-07-09; Cichocki; Serap; STUDENT; true
GI-100211; 1989-05-11; Sury; Leucio; EMERITUS; true
GI-100830; 1987-02-02; Journel; Aruna; STUDENT; true
GI-107527; 1997-06-14; Bhattacharjee; Bluma; EMERITUS; true
GI-106849; 1985-04-29; Foote; Elrique; EMERITUS; false
GI-104317; 1990-09-01; Jansen; Inderjeet; FULL; false
GI-100526; 1987-12-14; Casperson; Uzi; EMERITUS; true
GI-103646; 1987-09-02; Ozeki; Chinhyun; FULL; true
GI-109379; 1986-07-07; Berendt; Danny; FULL; false
GI-101406; 1988-04-03; Millington; Gudjon; EMERITUS; true
GI-101828; 1988-03-19; Samarati; Thodoros; EMERITUS; false
GI-107013; 1988-12-16; Tasistro; Jaewoo; REDUCED; true
GI-104257; 1987-11-26; Sommen; Kiyokazu; FULL; true
GI-107340; 1997-07-10; Haumacher; Honesty; REDUCED; false
GI-103432; 1993-03-21; Rikino; Aiman; STUDENT; true
GI-109164; 1988-03-24; Luon; Honesty; REDUCED; false
GI-107833; 1990-05-26; Dulli; Alois; EMERITUS; true
GI-104669; 1987-11-08; Hempstead; Arvind; REDUCED; false
GI-107468; 1986-06-01; Yemenis; Reuven; FULL; true
GI-105528; 1994-11-25; Pews; Jaideep; EMERITUS; false
GI-102082; 1992-01-26; Ritcey; Mountaz; STUDENT; false
GI-109618; 1987-10-28; Mayerwieser; Francesca; STUDENT; true
GI-102785; 1989-02-27; Erez; Susanne; FULL; true
GI-107086; 1990-08-10; Setiz; George; EMERITUS; true
GI-104536; 1990-09-05; Flasterstein; Gopalakrishnan; FULL; false
GI-100050; 1988-04-19; Iwayama; Alassane; FULL; false
GI-102948; 1991-04-05; Pashtan; Chaosheng; REDUCED; true
GI-107242; 1991-09-13; Kavanagh; Bogdan; FULL; false
GI-108231; 1989-09-19; Marsiglia; Yongmao; FULL; true
GI-107791; 1996-01-13; Brandsma; Tzvetan; EMERITUS; true
GI-103175; 1996-04-26; Yurov; Vasilii; EMERITUS; true
GI-105106; 1990-07-27; Picel; Annemarie; EMERITUS; true
GI-107744; 1988-04-28; Birsak; Jungsoon; FULL; false
GI-106307; 1987-04-04; Griswold; Macha; FULL; true
GI-109327; 1986-05-16; Pusterhofer; Elrique; FULL; true
GI-105600; 1986-11-08; Gajiwala; Masaru; FULL; false
GI-109771; 1996-11-08; Georgatos; Zissis; FULL; false
GI-104554; 1997-03-24; Pileggi; Sudhanshu; EMERITUS; false
GI-105668; 1986-09-29; Seghrouchni; Dipayan; REDUCED; true
GI-101695; 1985-03-14; Paciorek; Mikhail; REDUCED; false
GI-108774; 1987-05-26; Weisert; Arvind; FULL; true
